reference_evaluation_panel,officialname,oaire_result_type,openairecompatibility,opendoar_link,data_source_id,works,projects_with_repo_works,reference_evaluation_panel_title,projects,prop
LS01_REF,Aaltodoc Publication Archive,publication,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/661,opendoar____::3a066bda8c96b9478bb0512f0a43028c,1,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,Apollo,publication,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/109,opendoar____::2723d092b63885e0d7c260cc007e8b9d,14,9,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.04225352112676056
LS01_REF,Archive ouverte UNIGE,publication,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/1400,opendoar____::f0dd4a99fba6075a9494772b58f95280,3,3,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.014084507042253521
LS01_REF,Archivio istituzionale della ricerca - Alma Mater Studiorum Università di Bologna,publication,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/4094,opendoar____::64c53a52cb3bd1a01c03a64db985c0cc,1,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,Archivio Istituzionale della Ricerca - Università degli Studi della Campania &quot;Luigi Vanvitelli&quot;,publication,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3977,opendoar____::7d571e5c15bad5ef8c4352ce7a1d9e78,2,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,Archivio Istituzionale della Ricerca dell'Università degli Studi di Milano,publication,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/1261,opendoar____::17326d10d511828f6b34fa6d751739e2,5,2,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.009389671361502348
LS01_REF,arXiv.org e-Print Archive,publication,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/18,opendoar____::6f4922f45568161a8cdf4ad2299f6d23,4,3,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.014084507042253521
LS01_REF,Aston Publications Explorer,publication,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/1552,opendoar____::351b33587c5fdd93bd42ef7ac9995a28,1,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,BASE (Open Access Aggregator),publication,"OpenAIRE 3.0 (OA, funding)",NA,openaire____::df45502607927471ecf8a6ae83683ff5,6,6,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.028169014084507043
LS01_REF,Bern Open Repository and Information System (BORIS),publication,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/3071,opendoar____::6917ff2a7b53421ff4066020e2d89eec,6,2,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.009389671361502348
LS01_REF,Biblioteca Digital da UNICAMP,publication,not available,https://v2.sherpa.ac.uk/id/repository/1529,opendoar____::aa486f25175cbdc3854151288a645c19,1,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,bioRxiv,publication,OpenAIRE Basic (DRIVER OA),NA,share_______::bbd802baad85d1fd440f32a7a3a2c2b1,70,51,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.23943661971830985
LS01_REF,Birkbeck Institutional Research Online,publication,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/30,opendoar____::34173cb38f07f89ddbebc2ac9128303f,2,2,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.009389671361502348
LS01_REF,Caltech Authors,publication,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/38,opendoar____::a5771bce93e200c36f7cd9dfd0e5deaa,2,2,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.009389671361502348
LS01_REF,Central Archive at the University of Reading,publication,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/1731,opendoar____::b29eed44276144e4e8103a661f9a78b7,1,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,CONICET Digital,publication,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3498,opendoar____::fd9dcf1d146272bb05c490d790b6da52,2,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,Copenhagen University Research Information System,publication,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/2751,opendoar____::030e65da2b1c944090548d36b244b28d,15,8,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.03755868544600939
LS01_REF,DESY Publication Database,publication,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/1108,opendoar____::b9d487a30398d42ecff55c228ed5652b,9,8,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.03755868544600939
LS01_REF,Digital Access to Scholarship at Harvard,publication,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/1586,opendoar____::8f19793b2671094e63a15ab883d50137,3,2,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.009389671361502348
LS01_REF,Digital Repository of University of Zaragoza,publication,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/1413,opendoar____::59f51fd6937412b7e56ded1ea2470c25,1,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,DIGITAL.CSIC,publication,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/1106,opendoar____::c9f95a0a5af052bffce5c89917335f67,43,12,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.056338028169014086
LS01_REF,Diposit Digital de Documents de la UAB,publication,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/1404,opendoar____::186a157b2992e7daed3677ce8e9fe40f,1,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,Diposit Digital de la Universitat de Barcelona,publication,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/963,opendoar____::1ce927f875864094e3906a4a0b5ece68,1,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,Document Server@UHasselt,publication,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/105,opendoar____::65b9eea6e1cc6bb9f0cd2a47751a186f,1,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,DSpace@MIT,publication,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/88,opendoar____::2a38a4a9316c49e5a833517c45d31070,1,1,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.004694835680751174
LS01_REF,Durham Research Online,publication,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/328,opendoar____::cd00692c3bfe59267d5ecfac5310286c,2,3,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.014084507042253521
LS01_REF,e-Prints Soton,publication,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/348,opendoar____::01386bd6d8e091c2ab4c7c7de644d37b,4,4,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.018779342723004695
LS01_REF,EASY,dataset,"OpenAIRE Data (funded, referenced datasets)",NA,re3data_____::84e123776089ce3c7a33db98d9cd15a8,3,3,"Molecular Biology, Biochemistry, Structural Biology and Molecular Biophysics",213,0.014084507042253521
